date,12H,T_mean,P0_mean
2017-10-17,0,24.7,629.9300000000001
2017-10-17,1,18.857142857142858,629.3857142857142
2017-10-18,0,24.4,628.99
2017-10-18,1,19.9,629.1499999999999
2017-10-19,0,23.625,629.7375000000001
2017-10-19,1,18.88888888888889,628.7333333333333
2017-10-20,0,23.125,630.175
2017-10-20,1,19.571428571428573,630.1999999999999
2017-10-21,0,20.181818181818183,629.6727272727273
2017-10-21,1,17.75,629.4125
2017-10-22,0,25.0,630.4333333333334
2017-10-22,1,16.727272727272727,629.4454545454544
2017-10-23,0,21.545454545454547,629.6636363636363
2017-10-23,1,18.6,629.4
2017-10-24,0,22.416666666666668,629.55
2017-10-24,1,18.454545454545453,629.1454545454546
2017-10-25,0,20.818181818181817,628.9545454545455
2017-10-25,1,17.916666666666668,628.7333333333333
2017-10-26,0,22.666666666666668,629.5777777777778
2017-10-26,1,17.416666666666668,628.3666666666668
2017-10-27,0,23.0,628.68
2017-10-27,1,18.555555555555557,628.811111111111
2017-10-28,0,23.88888888888889,629.311111111111
2017-10-28,1,18.4,628.4799999999999
2017-10-29,0,22.333333333333332,629.3666666666667
2017-10-29,1,19.25,629.575
2017-10-30,0,21.77777777777778,629.5555555555555
2017-10-30,1,17.77777777777778,628.7444444444444
2017-10-31,0,22.75,630.2916666666667
2017-10-31,1,17.75,628.825
2017-11-01,0,22.75,629.7874999999999
2017-11-01,1,17.916666666666668,629.1416666666668
2017-11-02,0,19.333333333333332,629.3333333333334
2017-11-02,1,18.0,629.56
2017-11-03,0,18.09090909090909,627.7363636363636
2017-11-03,1,17.666666666666668,628.85
2017-11-04,0,20.7,628.21
2017-11-04,1,17.25,627.9333333333333
2017-11-05,0,18.666666666666668,627.7416666666667
2017-11-05,1,16.8,628.0699999999999
2017-11-06,0,21.666666666666668,628.1500000000001
2017-11-06,1,16.75,628.0333333333333
2017-11-07,0,20.916666666666668,628.2333333333333
2017-11-07,1,17.666666666666668,627.6
2017-11-08,0,21.7,628.64
2017-11-08,1,17.416666666666668,627.9499999999999
2017-11-09,0,21.571428571428573,628.5714285714286
2017-11-09,1,17.5,628.1
2017-11-10,0,22.0,627.9875000000001
2017-11-10,1,17.11111111111111,627.9000000000001
2017-11-11,0,20.8,627.64
2017-11-12,0,21.1,628.56
2017-11-12,1,17.22222222222222,628.0333333333333
2017-11-13,0,22.0,628.8499999999999
2017-11-13,1,17.555555555555557,627.8333333333334
2017-11-14,0,19.333333333333332,627.8333333333334
2017-11-14,1,17.6,628.0199999999999
2017-11-15,0,21.0,628.725
2017-11-15,1,17.09090909090909,627.6727272727272
2017-11-16,0,21.454545454545453,628.5545454545455
2017-11-16,1,18.2,628.13
2017-11-17,0,22.22222222222222,628.7555555555556
2017-11-17,1,17.333333333333332,628.0333333333334
2017-11-18,0,21.6,628.8900000000001
2017-11-18,1,17.6,628.4800000000001
2017-11-19,0,20.4,628.7699999999999
2017-11-19,1,17.0,628.03
2017-11-20,0,21.0,629.1666666666667
2017-11-20,1,16.636363636363637,628.3727272727273
2017-11-21,0,21.833333333333332,628.7166666666668
2017-11-21,1,17.363636363636363,628.1181818181819
2017-11-22,0,23.555555555555557,628.7555555555556
2017-11-22,1,18.0,627.9363636363637
2017-11-24,0,22.7,628.8600000000001
2017-11-24,1,20.5,629.65
2017-11-25,0,21.75,629.3499999999999
2017-11-25,1,17.5,628.25
2017-11-26,0,21.166666666666668,630.3083333333333
2017-11-26,1,17.3,629.2
2017-11-27,0,21.5,630.0916666666666
2017-11-27,1,18.0,629.7375
2017-11-28,0,22.0,629.625
2017-11-28,1,17.75,629.1916666666668
2017-11-29,0,22.818181818181817,629.9727272727274
2017-11-29,1,18.181818181818183,629.2090909090911
2017-11-30,0,21.454545454545453,629.8999999999999
2017-11-30,1,17.666666666666668,628.825
2017-12-01,0,24.5,630.0333333333334
2017-12-01,1,17.636363636363637,628.6909090909091
2017-12-02,0,22.545454545454547,629.2818181818183
2017-12-02,1,18.833333333333332,628.9333333333333
2017-12-03,1,17.25,628.475
2017-12-04,1,17.25,628.5500000000001
2017-12-05,0,22.88888888888889,629.3555555555555
2017-12-05,1,20.5,630.6
2017-12-06,0,23.0,628.88
2017-12-06,1,18.333333333333332,628.8333333333334
2017-12-07,0,24.75,629.0749999999999
2017-12-07,1,19.444444444444443,628.6555555555556
2017-12-08,1,17.444444444444443,627.5
2017-12-09,0,21.8,628.09
2017-12-09,1,19.666666666666668,628.4333333333334
2017-12-10,0,21.416666666666668,628.7583333333334
2017-12-10,1,17.5,628.03
2017-12-11,0,21.09090909090909,629.5909090909091
2017-12-11,1,16.5,628.1000000000001
2017-12-12,0,22.9,629.95
2017-12-12,1,18.09090909090909,629.3363636363638
2017-12-13,0,24.0,630.6333333333333
2017-12-13,1,17.75,629.0125
2017-12-14,0,24.0,630.525
2017-12-14,1,18.75,629.2625
2017-12-15,0,24.083333333333332,629.6916666666666
2017-12-15,1,19.7,629.57
2017-12-16,0,24.5,630.075
2017-12-16,1,19.2,629.02
2017-12-17,0,23.88888888888889,629.7666666666667
2017-12-17,1,18.666666666666668,629.0666666666666
2017-12-18,0,23.1,629.3999999999999
2017-12-18,1,18.125,629.0875
2017-12-19,0,19.90909090909091,628.7545454545453
2017-12-19,1,18.0,628.1666666666666
2017-12-20,0,22.75,630.4000000000001
2017-12-20,1,16.666666666666668,628.7444444444444
2017-12-21,0,21.666666666666668,629.9499999999999
2017-12-21,1,17.714285714285715,628.9857142857144
2017-12-22,0,22.444444444444443,629.8111111111112
