"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"05/31/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1952,1382,2759,,,,,,,2642,1887,3700,1647,1303,2081,1667,1221,2277
"03/31/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1910,1364,2674,1621,1342,1957,,,,,,,,,,,,
"04/01/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1904,1326,2736,,,,,,,,,,,,,,,
"04/02/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2124,1448,3114,,,,,,,,,,,,,,,
"04/03/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2291,1648,3186,2672,2157,3311,,,,,,,,,,,,
"04/04/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2242,1533,3280,,,,,,,,,,,,,,,
"04/05/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2199,1602,3020,,,,,,,2640,2182,3193,,,,,,
"04/06/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1926,1450,2558,,,,,,,,,,1814,1359,2420,1542,1245,1909
"04/07/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1724,1185,2509,,,,,,,,,,1885,1312,2709,1601,1014,2527
"04/08/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2161,1569,2975,2271,1941,2657,,,,,,,,,,,,
"04/09/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2549,1629,3989,,,,,,,,,,,,,,,
"04/10/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1928,1260,2950,,,,,,,,,,,,,1250,886,1763
"04/11/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2002,1074,3730,,,,,,,,,,,,,,,
"04/12/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2245,1752,2877,,,,,,,,,,,,,,,
"04/13/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2043,1421,2937,,,,,,,2627,1876,3677,1841,1459,2323,1379,1003,1895
"04/14/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1820,1295,2559,,,,,,,,,,1780,1246,2544,,,
"04/15/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1988,1240,3189,,,,,,,,,,,,,1149,856,1543
"04/16/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2369,1831,3065,2441,2074,2873,,,,2884,2254,3690,,,,,,
"04/17/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2198,1542,3134,,,,,,,,,,,,,,,
"04/18/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2109,1645,2703,,,,,,,2353,1901,2912,,,,,,
"04/19/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2662,1788,3961,,,,,,,3600,2172,5966,2052,1625,2590,,,
"04/20/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1959,1300,2950,2039,1701,2444,,,,2852,1873,4341,1424,1000,2027,1319,1093,1591
"04/21/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1776,1232,2562,,,,,,,1827,1563,2136,1993,1316,3018,1707,1138,2561
