"Day Of Week","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"Monday","376","Kawangware, Nairobi","192","Afya Centre, Nairobi","4/1/2018 - 6/1/2018, Daily Average",2414,1555,3747
"Tuesday","376","Kawangware, Nairobi","192","Afya Centre, Nairobi","4/1/2018 - 6/1/2018, Daily Average",2503,1585,3952
"Wednesday","376","Kawangware, Nairobi","192","Afya Centre, Nairobi","4/1/2018 - 6/1/2018, Daily Average",2736,1647,4548
"Thursday","376","Kawangware, Nairobi","192","Afya Centre, Nairobi","4/1/2018 - 6/1/2018, Daily Average",2625,1587,4342
"Friday","376","Kawangware, Nairobi","192","Afya Centre, Nairobi","4/1/2018 - 6/1/2018, Daily Average",2403,1552,3719
"Saturday","376","Kawangware, Nairobi","192","Afya Centre, Nairobi","4/1/2018 - 6/1/2018, Daily Average",2045,1384,3022
"Sunday","376","Kawangware, Nairobi","192","Afya Centre, Nairobi","4/1/2018 - 6/1/2018, Daily Average",1826,1270,2624
